City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
338,Ozinki,RU,51.1786,49.6769,43.9,93,100,14.07,overcast clouds
339,Baracoa,CU,20.3467,-74.4958,84.83,67,59,11.61,broken clouds
340,Kapuskasing,CA,49.4169,-82.4331,42.8,87,100,6.91,light rain
341,Burnie,AU,-41.0667,145.9167,43.95,88,12,5.19,few clouds
342,Antequera,ES,37.0194,-4.5612,82.45,38,100,8.81,overcast clouds
343,Bull Savanna,JM,17.8868,-77.5902,83.35,65,100,14.97,overcast clouds
344,Isangel,VU,-19.55,169.2667,69.91,94,77,3.44,broken clouds
345,Vanavara,RU,60.34,102.2797,42.4,94,81,3.06,broken clouds
346,Ljubovija,RS,44.1894,19.3767,72.93,62,41,4.12,scattered clouds
347,Uvalde,US,29.3669,-99.767,72.32,56,100,17.27,overcast clouds
348,Bani Walid,LY,31.7566,13.9942,89.65,6,0,7.14,clear sky
349,Chapais,CA,49.7834,-74.8492,31.78,86,100,3.33,light snow
350,Northam,GB,51.0333,-4.2167,62.62,74,82,12.19,broken clouds
351,Canutama,BR,-6.5339,-64.3831,90.18,45,6,2.84,clear sky
352,Camacari,BR,-12.6975,-38.3242,83.97,60,37,11.56,scattered clouds
353,Katobu,ID,-4.9408,122.5276,75.38,91,18,3.65,few clouds
354,Jaypur,IN,18.85,82.5833,87.71,27,37,6.85,scattered clouds
355,Coihaique,CL,-45.5752,-72.0662,42.75,65,40,10.36,scattered clouds
356,Sao Filipe,CV,14.8961,-24.4956,73.45,75,56,13.96,broken clouds
357,Saint-Augustin,CA,51.226,-58.6502,55.76,79,97,12.95,overcast clouds
358,Bayan,CN,46.0833,127.4,59.22,37,25,6.82,scattered clouds
359,Souto Da Carpalhosa,PT,39.8457,-8.8233,73.81,77,75,9.22,broken clouds
360,Indramayu,ID,-6.3264,108.32,80.85,80,91,8.61,overcast clouds
361,Kijang,KR,35.2442,129.2139,67.73,73,0,6.24,clear sky
362,Krasnogorskoye,RU,52.2953,86.1979,63.46,72,72,5.19,broken clouds
363,Palmer,US,42.1584,-72.3287,90.5,55,75,11.5,broken clouds
364,Cap-Aux-Meules,CA,47.3821,-61.8597,53.65,100,100,10.36,mist
365,Muromtsevo,RU,56.3724,75.2418,49.12,90,100,7.56,light rain
366,Maumere,ID,-8.6199,122.2111,79.18,77,26,3.94,scattered clouds
367,Taksimo,RU,56.3444,114.8794,46.38,84,100,3.67,overcast clouds
368,Guanaja,HN,16.4,-85.9,82.08,72,100,17.65,overcast clouds
369,Braganca Paulista,BR,-22.94,-46.5556,71.04,36,0,5.14,clear sky
370,Lebu,CL,-37.6167,-73.65,54.66,95,100,6.89,overcast clouds
371,Alofi,NU,-19.0595,-169.9187,66.09,100,18,0.0,few clouds
372,Faya,SA,18.3851,42.4509,79.32,29,3,8.99,clear sky
373,Zuwarah,LY,32.9312,12.082,76.23,39,0,11.99,clear sky
374,Talnakh,RU,69.4865,88.3972,34.21,100,100,1.3,overcast clouds
375,Atar,MR,20.5169,-13.0499,109.09,7,1,3.49,clear sky
376,Yeppoon,AU,-23.1333,150.7333,67.78,90,97,11.74,moderate rain
377,Wynyard,AU,-41.0,145.7167,43.99,88,15,4.88,few clouds
378,Taiobeiras,BR,-15.8078,-42.2331,80.01,30,0,5.57,clear sky
379,Palu,ID,-0.8917,119.8707,76.59,96,100,2.68,overcast clouds
380,Clarence Town,AU,-32.5833,151.7833,57.94,96,99,1.23,light rain
381,Birao,CF,10.2849,22.7882,99.99,15,100,6.6,overcast clouds
382,Takoradi,GH,4.8845,-1.7554,76.14,89,100,7.83,overcast clouds
383,Saldanha,ZA,-33.0117,17.9442,66.25,81,95,6.2,overcast clouds
384,Lompoc,US,34.6391,-120.4579,57.63,85,100,5.01,mist
385,Maniitsoq,GL,65.4167,-52.9,31.62,96,100,10.31,light snow
386,Carnarvon,AU,-24.8667,113.6333,68.07,88,40,3.44,scattered clouds
387,Belmonte,BR,-15.8631,-38.8828,79.18,58,13,11.63,few clouds
388,Praia Da Vitoria,PT,38.7333,-27.0667,67.75,100,75,2.08,light intensity drizzle
389,Genhe,CN,50.7833,121.5167,46.85,78,53,2.62,broken clouds
390,Fortuna,US,40.5982,-124.1573,50.67,95,100,8.05,overcast clouds
391,Saint-Pierre,RE,-21.3393,55.4781,74.88,69,20,6.91,few clouds
